stor_id|ord_num|ord_date|qty|payterms|title_id
7896|X999|02/21/93|35|ON invoice|BU2075
8042|P723|03/11/93|25|Net 30|BU1111
6380|722a|09/13/94|3|Net 60|PS2091
7066|QA7442.3|09/13/94|75|ON invoice|PS2091
8042|423LL922|09/14/94|15|ON invoice|MC3021
8042|423LL930|09/14/94|10|ON invoice|BU1032
6380|6871|09/14/94|5|Net 60|BU1032
7067|D4482|09/14/94|10|Net 60|PS2091
7131|N914008|09/14/94|20|Net 30|PS2091
7131|N914014|09/14/94|25|Net 30|MC3021
7896|QQ2299|10/28/93|15|Net 60|BU7832
7896|TQ456|12/12/93|10|Net 60|MC2222
8042|QA879.1|5/22/93|30|Net 30|PC1035
7066|A2976|5/24/93|50|Net 30|PC8888
7131|P3087a|5/29/93|20|Net 60|PS1372
7131|P3087a|5/29/93|25|Net 60|PS2106
7131|P3087a|5/29/93|15|Net 60|PS3333
7131|P3087a|5/29/93|25|Net 60|PS7777
7067|P2121|6/15/92|40|Net 30|TC3218
7067|P2121|6/15/92|20|Net 30|TC4203
7067|P2121|6/15/92|20|Net 30|TC7777
